vid,url,verdict,evidence
V0000,chovaytieudung.online,,
V0001,k24live.xyz,,
V0002,www.crown88v.com,,
V0003,bidv.xyz,,
V0004,www.56hotlive.vip,,
V0005,854107.vip,,
V0006,thanhhoa.nhuxuan.thanhhoa.gov.vn,,
V0007,993.vn,,
V0008,kairyudo.co.jp,,
V0009,shopeevn6.com,,
V0010,www.vn-onlines.xyz,,
V0011,phukiensongtoan.com,,
V0012,grass.io,,
V0013,www.vongquaysieuphamfreefirevn.club,,
V0014,www.vnthanhnien.com,,
V0015,shxycx.com,,
V0016,www.playtogether.com.vn,,
V0017,gpay-mpos-ruttientindung.com,,
V0018,sd1675.xyz,,
V0019,789bet.tel,,
V0020,vidian.vn,,
V0021,cloudflare-gateway.com,,
V0022,www.yd516.com,,
V0023,www.choi789vn.online,,
V0024,www.sd9301.xyz,,
V0025,www.vietnamxcm.vip,,
V0026,vitalfootball.co.uk,,
V0027,blogtamsu.vn,,
V0028,kubetvn.mobi,,
V0029,shophaoquang.com,,
V0030,www.lz002.com,,
V0031,http://exoduuss.online/en/seguranca_validacao.php,,
V0032,khkempf.de,,
V0033,hi-go.org,,
V0034,arroyowhipsnake.com,,
V0035,ku89.bet,,
V0036,www.asj-muenster.de,,
V0037,trianqua4052.com,,
V0038,stvjogs.com,,
V0039,cpmstar.com,,
V0040,iagrai.gialai.gov.vn,,
V0041,trx.la,,
V0042,www.garenamembervipfreefire2021.com,,
V0043,napquare.com,,
V0044,www.eg0084.com,,
V0045,chanle96.net,,
V0046,motcuadientu.backan.gov.vn,,
V0047,www.amazon.amrsd.com,,
V0048,sotttt.caobang.gov.vn,,
V0049,hkpshopee.com,,
V0050,v7bom.com,,
V0051,congluan.vn,,
V0052,0fzj64.cn,,
V0053,hosting.net.np,,
V0054,haugiang.baohiemxahoi.gov.vn,,
V0055,chithao.quanghoa.caobang.gov.vn,,
V0056,now.vn,,
V0057,vnembassy-copenhagen.mofa.gov.vn,,
V0058,denisland.com,,
V0059,ubmttq.hochiminhcity.gov.vn,,
V0060,vdvbnhg6y.com,,
V0061,www.gamesaba.com,,
V0062,ffmenberzship-garena.com,,
V0063,www.vn-tss.top,,
V0064,www.coopmart1.com,,
V0065,756lux.com,,
V0066,www.dienmayxanhantam.com,,
V0067,eso-community.net,,
V0068,asp7890.com,,
V0069,vlute.edu.vn,,
V0070,www.napkimcuong234.com,,
V0071,thcsttcatba.haiphong.edu.vn,,
V0072,nilssonlee.se,,
V0073,nasd8129.com,,
V0074,stp.quangngai.gov.vn,,
V0075,chanlemomo.online,,
V0076,zim.vn,,
V0077,alicdn.com,,
V0078,www.sd1662.xyz,,
V0079,xoso456go.com,,
V0080,b221c.com,,
V0081,shopthureview.com,,
V0082,huongvinh.thuathienhue.gov.vn,,
V0083,www.shopadcoriff2023.tk,,
V0084,www.wnojnwy.cn,,
V0085,www.mpos-quetthevn.com,,
V0086,sd1695.xyz,,
V0087,www.hi88.vin,,
V0088,gream.ltd,,
V0089,www.dream-666.com,,
V0090,valesgratis.com,,
V0091,www.vizonegeek.com,,
V0092,gskygo.com,,
V0093,www.king07.xyz,,
V0094,www.aschumsseafoodab.com,,
V0095,www.xfnyzz.com,,
V0096,smrt.biddv.com,,
V0097,www.las53.com,,
V0098,ysmteam.com,,
V0099,www.moonlive.asia,,
V0100,vn88.ai,,
V0101,www.chongluadao.com,,
V0102,vitemac.com,,
V0103,goldencollections.net,,
V0104,jdpic.bar,,
V0105,www.rent-my-tesla.de,,
V0106,www.vpnsasr.com,,
V0107,ozio.tw,,
V0108,tikione.vip,,
V0109,vn-sg.club,,
V0110,mjh28.com,,
V0111,tamdiep.ninhbinh.gov.vn,,
V0112,www.etyuss.cn,,
V0113,myleague.vn,,
V0114,bfgoodrich.vn,,
V0115,www.oo567.live,,
V0116,http://dawnhollow.life/,,
V0117,ratuliga-ayah.site,,
V0118,www.i-goda.shop,,
V0119,www.knotcriterion.top,,
V0120,vitructuyen24-7.com,,
V0121,nemotech.ru,,
V0122,clmm.win,,
V0123,www.torzilla.de,,
V0124,xoso9988.com,,
V0125,www.qerdxm.com,,
V0126,uscloudminer.com,,
V0127,sd9772.xyz,,
V0128,myshopify.com,,
V0129,nhankhuyenmai.store,,
V0130,lisboa17.com,,
